time_bin,hour,total_jobs,flex1_jobs,flex2_jobs,flex3_jobs,power_mw,flexible_mw
133,33.25,7605,28,7025,550,1.37865,0.5282255133350962
134,33.5,7863,8,7695,158,1.41219,0.5208840763392016
135,33.75,7029,27,6474,526,1.30377,0.4893315302585404
136,34.0,7418,6,7281,129,1.35434,0.4901454201668082
137,34.25,7858,91,6036,1730,1.41154,0.6173429145403073
138,34.5,7764,40,6952,771,1.39932,0.5521567377549282
139,34.75,7959,52,6918,988,1.42467,0.578175883112843
140,35.0,8017,45,7099,871,1.43221,0.5747592173995587
141,35.25,7336,162,4084,3088,1.34368,0.6670347307644483
142,35.5,8369,23,7897,447,1.47797,0.5715419211156776
143,35.75,7847,101,5812,1933,1.41011,0.6290879497294348
144,36.0,7740,109,5554,2076,1.3962,0.6309543307372151
145,36.25,8059,50,7041,966,1.43767,0.5833637420169104
146,36.5,8019,23,7547,448,1.43247,0.5488352963448759
147,36.75,8330,109,6135,2084,1.4729,0.669825487172618
148,37.0,8030,67,6672,1289,1.4339,0.6013785396978121
149,37.25,8267,46,7344,876,1.46471,0.5913239558561767
150,37.5,7604,3,7524,75,1.37852,0.49893858637511473
151,37.75,7887,45,6977,863,1.41531,0.5658369175020869
152,38.0,7464,22,7019,422,1.36032,0.5111576503103377
153,38.25,7776,12,7532,231,1.40088,0.5196974086823622
154,38.5,7655,54,6574,1026,1.38515,0.5607636258333548
155,38.75,7580,4,7490,84,1.3754,0.49791190072888514
156,39.0,7516,13,7247,255,1.36708,0.504268117957298
157,39.25,7709,45,6799,864,1.39217,0.5542914555944425
158,39.5,6930,66,5594,1268,1.2909,0.5285516860427578
159,39.75,7063,25,6546,491,1.30819,0.4893306902002771
160,40.0,7237,50,6224,961,1.33081,0.5296139242321566
161,40.25,6809,9,6610,188,1.27517,0.45416956560826577
162,40.5,8221,88,6455,1677,1.45873,0.6376746732529468
163,40.75,8100,57,6953,1089,1.443,0.5935941378282992
164,41.0,7600,7,7440,151,1.378,0.5033414342163091
165,41.25,7490,26,6950,512,1.3637,0.5183930287939319
166,41.5,5908,40,5090,776,1.15804,0.4318205737957021
167,41.75,6231,8,6064,158,1.20003,0.41476496237596877
168,42.0,6504,4,6423,76,1.23552,0.42745578193376493
169,42.25,6448,28,5883,536,1.22824,0.452166821937495
170,42.5,6364,34,5675,653,1.21732,0.4539193975282939
171,42.75,5973,10,5770,192,1.1664899999999998,0.4000812983468843
172,43.0,6106,172,2657,3275,1.18378,0.5986025323323003
173,43.25,6137,15,5823,298,1.18781,0.4172622012996207
174,43.5,5545,2,5495,46,1.11085,0.36330247575420327
175,43.75,5873,36,5139,696,1.1534899999999997,0.4246516917419361
176,44.0,5946,10,5729,206,1.16298,0.3991797875856575
177,44.25,5519,84,3831,1603,1.10747,0.4574659778040129
178,44.5,5905,17,5564,323,1.15765,0.4037254797001804
179,44.75,5370,44,4489,836,1.0881,0.40054813853990323
180,45.0,5181,50,4170,959,1.06353,0.3958599732281338
181,45.25,5539,23,5076,439,1.11007,0.38707977586295306
182,45.5,5919,38,5146,733,1.15947,0.4299005167870929
183,45.75,5278,14,4991,272,1.07614,0.3598447999298019
184,46.0,5391,10,5187,192,1.09083,0.36229183602096815
185,46.25,5002,57,3843,1100,1.0402600000000002,0.392880651576679
186,46.5,4741,44,3841,854,1.00633,0.3607997448090127
187,46.75,5129,11,4906,211,1.05677,0.34640317577982765
188,47.0,5148,13,4886,248,1.0592399999999997,0.34994530303984006
189,47.25,4921,55,3814,1051,1.02973,0.38459632584622355
190,47.5,5202,93,3327,1781,1.0662600000000002,0.44781250234978387
191,47.75,4806,82,3163,1560,1.01478,0.4084731736301279
192,48.0,4729,13,4459,255,1.00477,0.323139370185433
193,48.25,5321,47,4368,904,1.08173,0.40158473537041856
194,48.5,5332,2,5280,49,1.08316,0.34959873446131867
195,48.75,4838,27,4294,515,1.01894,0.34623570609331816
196,49.0,7325,62,6081,1181,1.34225,0.5488549704642434
197,49.25,6752,18,6375,357,1.26776,0.4609035383957673
198,49.5,5139,32,4482,623,1.05807,0.3724542069458406
199,49.75,5129,2,5083,43,1.05677,0.33603316049724524
200,50.0,5358,2,5302,52,1.08654,0.3515013937789304
201,50.25,5334,8,5165,160,1.08342,0.3565932879158378
202,50.5,5387,34,4702,650,1.09031,0.3902137735782632
203,50.75,5066,21,4628,415,1.04858,0.3548708989414245
204,51.0,4932,27,4377,527,1.0311599999999999,0.35303811693762327
205,51.25,5853,19,5462,371,1.15089,0.4033022588986727
206,51.5,5423,14,5126,281,1.0949899999999997,0.36981553425981156
207,51.75,5651,7,5505,137,1.1246299999999998,0.37579792154411323
208,52.0,5848,23,5375,448,1.1502399999999997,0.40775557528297396
209,52.25,6325,40,5512,771,1.21225,0.45865432126798383
210,52.5,5974,28,5407,537,1.1666200000000002,0.42142817154338397
211,52.75,5899,46,4967,885,1.1568700000000003,0.43795604136447996
212,53.0,5954,58,4775,1119,1.16402,0.455940468300109
213,53.25,6196,30,5590,574,1.19548,0.43813392113474087
214,53.5,6031,23,5556,450,1.17403,0.419744339188828
215,53.75,6410,82,4767,1559,1.2233,0.5127098603720409
216,54.0,6484,14,6188,281,1.23292,0.43876580552150474
217,54.25,7090,9,6899,181,1.3117,0.47199873091198774
218,54.5,6670,50,5661,958,1.2571,0.4925503453805058
219,54.75,6215,33,5539,642,1.19795,0.4435094484133118
220,55.0,7690,44,6799,845,1.3897,0.5519265029123632
221,55.25,7269,24,6772,471,1.33497,0.5015455815315787
222,55.5,7698,24,7206,466,1.39074,0.5291165780757342
223,55.75,6816,11,6594,210,1.27608,0.45601011531797686
224,56.0,7183,42,6333,807,1.32379,0.5165959642438758
225,56.25,7535,36,6810,687,1.36955,0.5321346027527339
226,56.5,7574,12,7326,234,1.37462,0.506769872160246
227,56.75,7581,13,7310,257,1.37553,0.5085990359054109
228,57.0,6900,27,6344,528,1.287,0.48101946475131124
229,57.25,7114,11,6875,226,1.31482,0.4763342605202685
230,57.5,8145,27,7602,515,1.44885,0.5611759820368232
231,57.75,8255,41,7420,792,1.46315,0.5853854624025678
232,58.0,7767,13,7504,249,1.39971,0.5202210724889896
233,58.25,8262,60,7056,1145,1.46406,0.6075505203606314
234,58.5,7578,3,7508,65,1.37514,0.4966280351684966
235,58.75,7682,21,7257,403,1.38866,0.5241820957172927
236,59.0,7618,30,7003,583,1.38034,0.5310970338791478
237,59.25,7716,19,7317,378,1.39308,0.5248742187149545
238,59.5,8203,52,7147,1003,1.45639,0.5949627801542259
239,59.75,8864,7,8722,134,1.54232,0.5844518079110872
240,60.0,9798,69,8410,1318,1.66374,0.7180554793234766
241,60.25,8134,39,7334,759,1.44742,0.5754858295344039
242,60.5,8312,26,7783,502,1.47056,0.5712163239956134
243,60.75,8118,15,7801,300,1.44534,0.54618774579866
244,61.0,8313,55,7201,1055,1.47069,0.6053658244572729
245,61.25,7659,33,6986,638,1.38567,0.5371727701812564
246,61.5,8319,10,8117,191,1.47147,0.5524977396182886
247,61.75,7887,53,6813,1019,1.41531,0.5754287878480645
248,62.0,8161,22,7707,430,1.45093,0.5569978635528837
249,62.25,7315,47,6358,909,1.34095,0.5314503584727304
250,62.5,7744,18,7369,355,1.39672,0.5252407494953665
251,62.75,7671,17,7323,330,1.38723,0.5189374021881669
252,63.0,7374,21,6942,410,1.34862,0.504571288173029
253,63.25,7582,15,7262,303,1.37566,0.5115417912029997
254,63.5,7875,70,6461,1342,1.41375,0.5945418130509571
255,63.75,7124,18,6756,349,1.31612,0.48455303928064775
256,64.0,7538,29,6947,560,1.36994,0.5244949827543713
257,64.25,6825,8,6660,156,1.27725,0.453231482175071
258,64.5,7706,49,6708,947,1.39178,0.5592558979308734
259,64.75,7217,58,6040,1117,1.32821,0.5379367255803529
260,65.0,7405,20,6991,393,1.35265,0.5055394836163362
261,65.25,6994,21,6563,409,1.29922,0.47980987384096074
262,65.5,6812,60,5605,1146,1.27556,0.5133868674175699
263,65.75,6835,74,5346,1413,1.27855,0.5313406136019919
264,66.0,6459,68,5082,1307,1.22967,0.5003366721224919
265,66.25,5916,56,4786,1072,1.15908,0.45060487072407485
266,66.5,6438,37,5685,715,1.22694,0.4625159682702945
267,66.75,5980,35,5278,666,1.1674,0.42972557966797376
268,67.0,5781,6,5658,116,1.14153,0.382957145658576
269,67.25,6208,9,6014,183,1.19704,0.41482583209772006
270,67.5,5842,35,5136,670,1.14946,0.4210004267136089
271,67.75,6144,91,4317,1734,1.18872,0.5061969941272477
272,68.0,5513,14,5223,275,1.10669,0.37530172741976786
273,68.25,5525,6,5398,120,1.10825,0.3665320497546828
274,68.5,5931,19,5549,362,1.16103,0.40781981104071574
275,68.75,5594,5,5487,100,1.11722,0.36982320988745643
276,69.0,4996,29,4398,567,1.0394800000000002,0.35969239171162853
277,69.25,5449,8,5270,170,1.0983700000000003,0.36465441753993005
278,69.5,5754,37,5010,706,1.13802,0.4175239543125029
279,69.75,5109,17,4764,327,1.05417,0.35224119667129505
280,70.0,5380,40,4560,778,1.0894,0.39761999118025804
281,70.25,4899,9,4717,172,1.0268700000000002,0.3290438191916306
282,70.5,5073,12,4831,228,1.0494899999999998,0.343845890475862
283,70.75,5406,32,4759,614,1.09278,0.38920705518257825
284,71.0,5116,2,5063,49,1.05508,0.33560231043059807
285,71.25,5415,40,4611,763,1.09395,0.39900777718952574
286,71.5,5140,73,3664,1402,1.0582,0.42044147149012356
287,71.75,5668,45,4761,861,1.12684,0.42145849354297465
288,72.0,4530,1,4504,23,0.9789,0.2959201221819261
289,72.25,4938,2,4880,54,1.0319399999999999,0.324322694595592
290,72.5,4687,61,3461,1164,0.9993100000000001,0.3763663881918156
291,72.75,4723,9,4537,176,1.00399,0.31783410903955805
292,73.0,4748,19,4349,378,1.00724,0.3319374441182425
293,73.25,5129,40,4313,774,1.05677,0.3810681483317371
294,73.5,5182,43,4308,829,1.06366,0.38792601235821855
295,73.75,5282,12,5038,231,1.07666,0.35760265783955636
296,74.0,6386,12,6140,233,1.22018,0.4294651027201136
297,74.25,6678,35,5973,669,1.25814,0.4752687051588191
298,74.5,6543,116,4209,2216,1.24059,0.5618047694123102
299,74.75,7175,25,6668,481,1.32275,0.4960236569705236
300,75.0,6700,8,6527,164,1.261,0.44561580342844287
301,75.25,5446,38,4684,722,1.09798,0.39850950000226754
302,75.5,5754,14,5461,278,1.13802,0.3911294601364317
303,75.75,5481,50,4469,960,1.10253,0.41542945337702086
304,76.0,5958,31,5326,600,1.16454,0.42423752986246366
305,76.25,6315,33,5645,635,1.21095,0.449637348450803
306,76.5,5982,53,4903,1024,1.16766,0.4519250369821312
307,76.75,6288,53,5219,1014,1.20744,0.47121873820370136
308,77.0,5489,10,5281,196,1.10357,0.3689024849563305
309,77.25,7000,52,5952,995,1.3,0.5162856014836237
310,77.5,7281,76,5742,1461,1.33653,0.563250786163945
311,77.75,6086,21,5651,412,1.18118,0.42101994801259246
312,78.0,6562,36,5824,700,1.24306,0.46966570140075453
313,78.25,6916,14,6623,278,1.28908,0.4666665420129115
314,78.5,6131,52,5090,988,1.18703,0.4594093180160141
315,78.75,6435,2,6379,52,1.22655,0.42151103079688074
316,79.0,6943,45,6030,867,1.29259,0.50468537751214
317,79.25,7120,23,6643,452,1.3156,0.4906946016238345
318,79.5,7295,74,5800,1419,1.33835,0.5616165865020841
319,79.75,7196,37,6451,706,1.32548,0.5112651883016114
320,80.0,7388,104,5295,1987,1.35044,0.60260451659876
321,80.25,7604,37,6851,714,1.37852,0.5382521115786106
322,80.5,7288,23,6816,448,1.33744,0.5013094067302925
323,80.75,7306,15,7003,287,1.33978,0.4925780211142388
324,81.0,7510,2,7462,45,1.3663,0.4909341529412473
325,81.25,7687,41,6853,791,1.38931,0.5484242535328551
326,81.5,7492,50,6485,956,1.36396,0.5458693172357741
327,81.75,7629,101,5604,1922,1.38177,0.6142924731702777
328,82.0,7918,42,7062,812,1.41934,0.5647272029150519
329,82.25,7892,20,7479,391,1.41596,0.5371120054275046
330,82.5,7830,107,5679,2043,1.4079,0.6347609709806582
331,82.75,8899,166,5574,3157,1.54687,0.7728983981998998
332,83.0,9449,53,8378,1017,1.61837,0.676827861284915
333,83.25,9182,7,9022,151,1.58366,0.6061697649276412
334,83.5,9783,84,8092,1605,1.66179,0.7347818095148144
335,83.75,9406,12,9152,240,1.61278,0.6262034203085853
336,84.0,9203,84,7503,1614,1.58639,0.6976346198279114
337,84.25,7978,75,6469,1433,1.42714,0.6068278818570503
338,84.5,8368,119,5982,2266,1.47784,0.6834861533020261
339,84.75,8160,90,6346,1722,1.4508,0.6364938276104171
340,85.0,8014,13,7735,264,1.43182,0.5371825295924783
341,85.25,7522,8,7354,159,1.36786,0.49873416769458445
342,85.5,8372,55,7268,1048,1.47836,0.608734345895972
343,85.75,7658,8,7482,166,1.38554,0.5080163268698555
344,86.0,8079,67,6732,1279,1.44027,0.6039129825912618
345,86.25,7649,10,7429,208,1.38437,0.5100512138384824
346,86.5,7941,12,7695,233,1.42233,0.5305403644748466
347,86.75,8019,39,7225,753,1.43247,0.5676428607919443
348,87.0,7755,17,7411,326,1.39815,0.5241892677466277
349,87.25,7715,42,6863,809,1.39295,0.5512981011370774
350,87.5,7383,46,6457,878,1.34979,0.5340205946176356
351,87.75,7203,0,7194,7,1.32639,0.4686819957234675
352,88.0,7291,29,6710,551,1.33783,0.507887340808041
353,88.25,7061,64,5774,1221,1.30793,0.534204355132431
354,88.5,7814,33,7142,637,1.40582,0.5471657390478576
355,88.75,6684,67,5337,1279,1.25892,0.5132237801566772
356,89.0,7188,52,6146,989,1.32444,0.5281452488171203
357,89.25,6947,26,6420,500,1.29311,0.4823535976702788
358,89.5,6764,14,6477,272,1.26932,0.4564172633418283
359,89.75,7042,56,5918,1067,1.30546,0.5234347881995248
360,90.0,6589,11,6355,221,1.24657,0.44195056427130736
361,90.25,6211,21,5780,409,1.19743,0.4289130872075244
362,90.5,6391,8,6230,152,1.22083,0.4248279211384974
363,90.75,6152,13,5887,251,1.1897600000000002,0.4153633336661266
364,91.0,6262,0,6248,13,1.20406,0.4078467192425246
365,91.25,6261,6,6124,129,1.20393,0.41493132090884366
366,91.5,5668,17,5327,323,1.12684,0.38835945105905373
367,91.75,6195,12,5954,228,1.19535,0.4167559397590927
368,92.0,6643,11,6404,226,1.25359,0.44577034469499166
369,92.25,6769,139,3977,2651,1.26997,0.6032837323467493
370,92.5,6741,1,6720,19,1.26633,0.43936960859382806
371,92.75,6590,14,6298,277,1.2467,0.44540875255890167
372,93.0,5406,68,4030,1306,1.09278,0.4318414786447126
373,93.25,5225,90,3411,1723,1.06925,0.4457356890106604
374,93.5,5229,21,4792,414,1.06977,0.3654298193913603
375,93.75,5722,68,4343,1309,1.13386,0.45254633181732223
376,94.0,4941,5,4836,99,1.03233,0.3272902575665402
377,94.25,4938,10,4722,204,1.0319399999999999,0.3335928964890819
378,94.5,4885,21,4446,416,1.0250499999999998,0.34315593004517575
379,94.75,5120,21,4696,402,1.0556,0.357603279090948
380,95.0,4593,15,4282,294,0.9870900000000001,0.31669859443002746
381,95.25,4622,33,3947,640,0.99086,0.33986562191638736
382,95.5,4934,34,4252,647,1.03142,0.36060446484832887
383,95.75,4616,41,3788,786,0.99008,0.3484519970674303
384,96.0,4638,12,4393,232,0.9929399999999999,0.3157821884577045
385,96.25,4619,0,4599,18,0.99047,0.30139302422334685
386,96.5,4758,11,4525,221,1.00854,0.322892265851515
387,96.75,5248,6,5110,130,1.0722399999999999,0.3491604864558228
388,97.0,5337,62,4078,1195,1.08381,0.4205429664256852
389,97.25,5655,17,5311,326,1.12515,0.38768159500734933
390,97.5,5678,27,5129,520,1.12814,0.40114091412091135
391,97.75,5390,65,4087,1237,1.0907,0.4265378506628296
392,98.0,5509,74,4015,1418,1.10617,0.4454346451595651
393,98.25,5292,37,4546,708,1.07796,0.3875992451961963
394,98.5,5465,10,5245,208,1.10045,0.36803993678073976
395,98.75,5955,15,5640,298,1.16415,0.4054843430972848
396,99.0,5550,14,5256,278,1.1115,0.3779055658842875
397,99.25,5856,2,5804,49,1.15128,0.38366448247007473
398,99.5,5306,19,4924,362,1.07978,0.3672360296744296
399,99.75,5466,10,5262,193,1.10058,0.36722122849083366
400,100.0,5843,37,5097,708,1.14959,0.4234098778584221
401,100.25,5881,50,4880,950,1.15453,0.44076850092367537
402,100.5,5739,21,5309,408,1.13607,0.3981726502455297
403,100.75,6740,38,5973,727,1.2662,0.48292835716343174
404,101.0,6163,54,5080,1028,1.19119,0.46392476083680645
405,101.25,6074,19,5677,376,1.1796200000000003,0.41801682517204125
406,101.5,6349,53,5269,1025,1.2153700000000003,0.4758196608748435
407,101.75,6409,67,5049,1291,1.22317,0.49610824294898104
408,102.0,6556,4,6468,83,1.24228,0.4312540259576626
409,102.25,6119,24,5634,460,1.18547,0.42609026533998406
410,102.5,7083,102,5042,1938,1.31079,0.5797519773329879
411,102.75,7197,58,6018,1119,1.32561,0.5367448673116436
412,103.0,7329,16,6990,322,1.34277,0.4962136200756637
413,103.25,7079,33,6408,637,1.31027,0.49938441768563513
414,103.5,7272,5,7167,99,1.33536,0.478790039441578
415,103.75,6903,7,6745,149,1.28739,0.45789525426232836
416,104.0,7499,1,7468,28,1.36487,0.4891900903641771
417,104.25,7408,23,6938,445,1.35304,0.5089743598375326
418,104.5,7275,71,5835,1367,1.33575,0.5570841583889166
419,104.75,7748,53,6677,1016,1.39724,0.566235482962655
420,105.0,7831,174,4333,3322,1.40803,0.7136032936233154
421,105.25,7645,69,6260,1315,1.38385,0.5779331964221822
422,105.5,7821,12,7570,238,1.40673,0.5230326911765151
423,105.75,7437,4,7351,81,1.35681,0.48839694337317685
424,106.0,8171,86,6448,1636,1.45223,0.6318875870865597
425,106.25,7575,7,7434,133,1.37475,0.500572046881452
426,106.5,7674,51,6643,978,1.38762,0.559094778516143
427,106.75,7939,52,6896,990,1.42207,0.5770213895089022
428,107.0,8283,74,6797,1411,1.46679,0.6252879860399702
429,107.25,8305,82,6656,1565,1.46965,0.6362500442325919
430,107.5,7985,65,6680,1239,1.42805,0.595365355350937
431,107.75,8228,35,7513,678,1.45964,0.5766043363839136
432,108.0,7493,13,7225,254,1.36409,0.5027218973024388
433,108.25,7780,57,6623,1098,1.4014,0.5733615270079145
434,108.5,7777,69,6388,1319,1.40101,0.5867300680979588
435,108.75,8346,10,8137,197,1.47498,0.5546650975306571
436,109.0,8714,8,8542,163,1.52282,0.576451916285378
437,109.25,8544,37,7791,714,1.50072,0.5993812043993794
438,109.5,8539,105,6437,1996,1.50007,0.6779924859582802
439,109.75,8884,39,8084,759,1.54492,0.6242203165748544
440,110.0,8317,84,6628,1604,1.47121,0.6393938503720651
441,110.25,7922,13,7644,263,1.41986,0.5311491564439724
442,110.5,8585,9,8393,181,1.50605,0.5692068511755549
443,110.75,7682,5,7581,95,1.38866,0.5052282909764527
444,111.0,7846,15,7526,303,1.40998,0.5286598519552259
445,111.25,7475,5,7364,104,1.36175,0.4923172587771416
446,111.5,7161,19,6767,373,1.32093,0.48847859776577396
447,111.75,7454,0,7445,7,1.35902,0.4849995083574609
448,112.0,7253,43,6390,819,1.33289,0.5219141216388363
449,112.25,7218,12,6959,245,1.32834,0.48426873121882513
450,112.5,7558,7,7417,133,1.37254,0.49947799127552295
451,112.75,6652,9,6453,188,1.25476,0.44401515814710896
452,113.0,6974,41,6147,785,1.29662,0.5016637027224089
453,113.25,6546,8,6366,170,1.24098,0.4359777240583615
454,113.5,5918,11,5694,212,1.15934,0.3977676295329601
455,113.75,6583,13,6317,252,1.24579,0.4434348137029008
456,114.0,6509,34,5809,664,1.23617,0.46400919082516173
